path	role	status	proof_use
d32_delta_logs_donly.sha256	input-delta-manifest	superseded	legacy determinant-only input manifest; no accepted proof replay parses it
d32_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d32_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D32 exact-through-35 direct-tail candidate/no-candidate scans
d33_delta_logs_donly.sha256	input-delta-manifest	superseded	legacy determinant-only input manifest; no accepted proof replay parses it
d33_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d33_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D33 exact-through-35 direct-tail candidate/no-candidate scans
d34_delta_logs_donly.sha256	input-delta-manifest	superseded	legacy determinant-only input manifest; no accepted proof replay parses it
d34_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d34_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D34 exact-through-35 direct-tail candidate/no-candidate scans
d35_delta_logs_donly.sha256	input-delta-manifest	superseded	legacy determinant-only input manifest; no accepted proof replay parses it
d35_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d35_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D35 exact-through-35 direct-tail candidate/no-candidate scans
d36_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d36_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D36 stable-through-35 direct-tail candidate/no-candidate scans
d37_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d37_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D37 stable-through-35 direct-tail candidate/no-candidate scans
d38_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d38_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D38 stable-through-35 direct-tail candidate/no-candidate scans
d39_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d39_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D39 stable-through-35 direct-tail candidate/no-candidate scans
d40_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d40_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D40 stable-through-35 direct-tail candidate/no-candidate scans
d41_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d41_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D41 stable-through-35 direct-tail candidate/no-candidate scans
d42_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d42_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D42 stable-through-35 direct-tail candidate/no-candidate scans
d43_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d43_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D43 stable-through-35 direct-tail candidate/no-candidate scans
d44_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d44_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D44 stable-through-35 direct-tail candidate/no-candidate scans
d45_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d45_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D45 stable-through-35 direct-tail candidate/no-candidate scans
d46_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d46_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D46 stable-through-35 direct-tail candidate/no-candidate scans
d47_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d47_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D47 stable-through-35 direct-tail candidate/no-candidate scans
d48_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d48_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D48 stable-through-35 direct-tail candidate/no-candidate scans
d49_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d49_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D49 stable-through-35 binary-search direct-tail onset scan
d50_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d50_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D50 stable-through-35 binary-search direct-tail onset scan
d51_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d51_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D51 stable-through-35 binary-search direct-tail onset scan
d52_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d52_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D52 stable-through-35 binary-search direct-tail onset scan
d53_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d53_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D53 stable-through-35 binary-search direct-tail onset scan
d54_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d54_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D54 stable-through-35 binary-search direct-tail onset scan
d55_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d55_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D55 stable-through-35 binary-search direct-tail onset scan
d56_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d56_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D56 stable-through-35 binary-search direct-tail onset scan
d57_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d57_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D57 stable-through-35 binary-search direct-tail onset scan
d58_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d58_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D58 stable-through-35 binary-search direct-tail onset scan
d59_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d59_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D59 stable-through-35 binary-search direct-tail onset scan
d60_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d60_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D60 stable-through-35 binary-search direct-tail onset scan
d61_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d61_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D61 stable-through-35 binary-search direct-tail onset scan
d62_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d62_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D62 stable-through-35 binary-search direct-tail onset scan
d63_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d63_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D63 stable-through-35 binary-search direct-tail onset scan
d64_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d64_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D64 stable-through-35 generated binary-search direct-tail onset scan
d65_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d65_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D65 stable-through-35 generated binary-search direct-tail onset scan
d66_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d66_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D66 stable-through-35 generated binary-search direct-tail onset scan
d67_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d67_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D67 stable-through-35 generated binary-search direct-tail onset scan
d68_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d68_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D68 stable-through-35 generated binary-search direct-tail onset scan
d69_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d69_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D69 stable-through-35 generated binary-search direct-tail onset scan
d70_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d70_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D70 stable-through-35 generated binary-search direct-tail onset scan
d71_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d71_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D71 stable-through-35 generated binary-search direct-tail onset scan
d72_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d72_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D72 stable-through-35 generated binary-search direct-tail onset scan
d73_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d73_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D73 stable-through-35 generated binary-search direct-tail onset scan
d74_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d74_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D74 stable-through-35 generated binary-search direct-tail onset scan
d75_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d75_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D75 stable-through-35 generated binary-search direct-tail onset scan
d76_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d76_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D76 stable-through-35 generated binary-search direct-tail onset scan
d77_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d77_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D77 stable-through-35 generated binary-search direct-tail onset scan
d78_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d78_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D78 stable-through-35 generated binary-search direct-tail onset scan
d79_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d79_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D79 stable-through-35 generated binary-search direct-tail onset scan
d80_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d80_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D80 stable-through-35 generated binary-search direct-tail onset scan
d81_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d81_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D81 stable-through-35 generated binary-search direct-tail onset scan
d82_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d82_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D82 stable-through-35 generated binary-search direct-tail onset scan
d83_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d83_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D83 stable-through-35 generated binary-search direct-tail onset scan
d84_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d84_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D84 stable-through-35 generated binary-search direct-tail onset scan
d85_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d85_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D85 stable-through-35 generated binary-search direct-tail onset scan
d86_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d86_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D86 stable-through-35 generated binary-search direct-tail onset scan
d87_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d87_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D87 stable-through-35 generated binary-search direct-tail onset scan
d88_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d88_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D88 stable-through-35 generated binary-search direct-tail onset scan
d89_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d89_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D89 stable-through-35 generated binary-search direct-tail onset scan
d90_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d90_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D90 stable-through-35 generated binary-search direct-tail onset scan
d91_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d91_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D91 stable-through-35 generated binary-search direct-tail onset scan
d92_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d92_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D92 stable-through-35 generated binary-search direct-tail onset scan
d93_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d93_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D93 stable-through-35 generated binary-search direct-tail onset scan
d94_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d94_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D94 stable-through-35 generated binary-search direct-tail onset scan
d95_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d95_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D95 stable-through-35 generated binary-search direct-tail onset scan
d96_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d96_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D96 stable-through-35 generated binary-search direct-tail onset scan
d97_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d97_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D97 stable-through-35 generated binary-search direct-tail onset scan
d_interval_direct_tail_mpfr_certificate.log	replay	superseded	legacy determinant-only D98-D279 direct-tail replay; superseded by the correction-aware A-free route
d_interval_frontier_gmp_accepted.sha256	manifest	superseded	legacy determinant-only D98-D279 frontier manifest; superseded by the correction-aware A-free route
d_interval_formula_diagnostics.sha256	diagnostic-manifest	diagnostic	D98-D279 diagnostic archive; accepted direct-tail and frontier subsets are listed separately
post_m29_superseded_d_routes.sha256	superseded-manifest	superseded	integrity index for determinant-only type-D routes excluded from the accepted proof boundary
post_m29_superseded_low_bc_routes.sha256	superseded-manifest	superseded	integrity index for normalization-defective low-rank B/C tail routes excluded from the accepted proof boundary
post_m29_chernoff_trace_high_edge_certificate.log	replay	accepted	high-edge no-TV Chernoff trace supplier
bc_cheb80_negative_tail_gmp_certificate.log	replay	accepted	B/C exact GMP Chebyshev negative-tail input for interval direct-tail
bc_interval_formula_mpfr_certificate.log	replay	accepted	B/C directed-rounding MPFR direct-tail onset certificate; conditional input discharged by bc_cheb80_negative_tail_gmp_certificate.log
bc_interval_tail_code.sha256	manifest	accepted	source hashes for B/C interval-tail verifier targets, the caller-discharged half-bridge and power-loss verifiers, diagnostic/conditional compression verifiers, the fixed-even counterexample verifier, tight-Omega small-case verifiers, exact complement-packing/frontier verifiers, recursive fixed-even envelope/obstruction verifiers, low-low degree-profile verifier, and B/C nonboundary frontier verifiers
bc_bridge_lambda_scan_diagnostic.log	replay	diagnostic	B/C bridge uniform-lambda diagnostic; reduction target only, not proof evidence
bc_pieri_compression_scan_diagnostic.log	replay	diagnostic	B/C Pieri compression-bound diagnostic; candidate reduction target only, not proof evidence
bc_lambda_half_bridge_gmp_certificate.log	replay	accepted	B/C exact GMP finite-bridge implication under delta_j<=0 and delta_j>=-s_j/2; its live callers discharge those hypotheses with the Pieri sign theorem and the numbered boundary-through-twenty-ninth lower-correction propositions
bc_pieri_compression_gmp_certificate.log	replay	conditional	B/C exact GMP arithmetic check that the candidate binomial-shift Pieri-compression bound would imply delta_j>=-s_j/2 on the residual rows; not unconditional proof evidence until the combinatorial compression inequality is proved or source-audited
